K2CrO4;200;gr;Lemari Depo I;padat;;;;;;;;
Kalium Bromat;100;gr;Lemari Depo I;padat;;;;;;;;
Kalium dikromat;0;gr;Lemari Depo I;padat;;;;;;;;
Kalium permanganat;250;gr;Lemari Depo I;padat;;;;;;;;
Karagenin;1500;gr;Lemari Depo I;padat;;;;;;;;
Karbon aktif;2100;gr;Lemari Depo I;padat;;;;;;;;
Karmin;1000;gr;Lemari Depo I;padat;;;;;;;;
KCl;850;gr;Lemari Depo I;padat;;;;;;;;
KH2PO4;500;gr;Lemari Depo I;padat;;;;;;;;
KMnO4;550;gr;Lemari Depo I;padat;;;;;;;;
